common_name,Count,Mean,Median,Std Dev,Min,Max,25%,75%
Beaked whales,1,0.0693,0.0693,,0.0693,0.0693,0.0693,0.0693
Blue whale,1,0.0755,0.0755,,0.0755,0.0755,0.0755,0.0755
Common minke whale,3,0.0715,0.07,0.0035,0.0689,0.0755,0.0695,0.0728
Fin whale,16,0.0717,0.0725,0.0039,0.0654,0.0759,0.0691,0.0751
Humpback whale,13,0.0711,0.0735,0.0042,0.0648,0.0757,0.0672,0.075
North Atlantic right whale,1,0.068,0.068,,0.068,0.068,0.068,0.068
Sperm whale,3,0.073,0.0738,0.0032,0.0695,0.0757,0.0717,0.0748
