common_name,Count,Mean,Median,Std Dev,Min,Max,25%,75%
Beaked whales,8,7.076,7.08,0.445,6.645,7.5,6.668,7.489
Blue whale,12,8.256,8.182,0.713,7.385,9.18,7.532,9.076
Common minke whale,54,8.019,8.105,0.611,6.915,9.08,7.45,8.448
Fin whale,308,7.909,7.737,1.278,5.74,12.47,7.192,8.167
Humpback whale,260,7.962,7.61,1.545,5.697,13.145,7.075,8.291
North Atlantic right whale,6,7.86,7.827,0.094,7.767,7.98,7.792,7.94
Sperm whale,44,7.533,7.33,0.803,6.78,9.955,7.099,7.695
