Original_Index,date_time,date,common_name,scientific_name,group_size,latitude,longitude,ssha
120,2025/02/22 11:28:44,2025-02-22,Beaked whales,Hyperoodontidae,5,38.33333,-73.51281,0.16254439176457042
4,2025/02/26 11:45:26,2025-02-26,Humpback whale,Megaptera novaeangliae,2,38.80395,-72.99513,0.10277807455536055
6,2025/02/26 11:46:17,2025-02-26,Humpback whale,Megaptera novaeangliae,2,38.81244,-73.00711,0.10277807455536055
11,2025/02/24 09:22:09,2025-02-24,Fin whale,Balaenoptera physalus,2,38.18413,-73.8886,0.10913662893716664
12,2025/02/24 09:23:01,2025-02-24,Common minke whale,Balaenoptera acutorostrata,1,38.17186,-73.86031,0.10913662893716664
13,2025/02/26 11:48:18,2025-02-26,Fin whale,Balaenoptera physalus,1,38.82722,-72.97477,0.10277807455536055
14,2025/02/26 11:53:01,2025-02-26,Fin whale,Balaenoptera physalus,1,38.90338,-73.09153,0.10277807455536055
19,2025/02/24 09:26:35,2025-02-24,Common minke whale,Balaenoptera acutorostrata,1,38.18469,-73.89053,0.10913662893716664
20,2025/02/24 09:28:48,2025-02-24,Fin whale,Balaenoptera physalus,1,38.15422,-73.81721,0.10913662893716664
24,2025/02/24 09:38:53,2025-02-24,Fin whale,Balaenoptera physalus,1,38.15255,-73.82005,0.10913662893716664
25,2025/02/25 09:28:54,2025-02-25,Fin whale,Balaenoptera physalus,1,37.20008,-74.55964,0.11990999870426956
27,2025/02/24 09:39:41,2025-02-24,Common minke whale,Balaenoptera acutorostrata,1,38.14367,-73.79472,0.10913662893716664
28,2025/02/24 09:42:21,2025-02-24,Fin whale,Balaenoptera physalus,1,38.12214,-73.77015,0.10913662893716664
29,2025/02/25 09:36:42,2025-02-25,Humpback whale,Megaptera novaeangliae,2,37.20866,-74.57956,0.11990999870426956
30,2025/02/25 09:40:51,2025-02-25,Fin whale,Balaenoptera physalus,1,37.22326,-74.55649,0.11990999870426956
33,2025/02/24 09:48:26,2025-02-24,Fin whale,Balaenoptera physalus,1,38.13343,-73.94644,0.10913662893716664
34,2025/02/25 09:42:42,2025-02-25,Humpback whale,Megaptera novaeangliae,2,37.201,-74.58828,0.11990999870426956
35,2025/02/25 09:42:59,2025-02-25,Humpback whale,Megaptera novaeangliae,2,37.19822,-74.59619,0.11990999870426956
36,2025/02/25 11:56:06,2025-02-25,Blue whale,Balaenoptera musculus,1,37.06681,-74.62614,0.11990999870426956
37,2025/02/25 11:57:00,2025-02-25,Blue whale,Balaenoptera musculus,1,37.08502,-74.63102,0.11990999870426956
38,2025/02/26 10:10:32,2025-02-26,Fin whale,Balaenoptera physalus,1,38.7406,-73.24345,0.10277807455536055
39,2025/02/26 10:11:28,2025-02-26,Fin whale,Balaenoptera physalus,1,38.75009,-73.23051,0.10277807455536055
44,2025/02/25 12:03:51,2025-02-25,Humpback whale,Megaptera novaeangliae,1,37.07738,-74.62389,0.11990999870426956
45,2025/02/26 10:17:44,2025-02-26,Fin whale,Balaenoptera physalus,2,38.72615,-73.08132,0.10277807455536055
49,2025/02/25 12:11:37,2025-02-25,Fin whale,Balaenoptera physalus,1,37.07899,-74.64352,0.11990999870426956
26,2025/03/03 10:41:30,2025-03-03,Humpback whale,Megaptera novaeangliae,1,37.26735,-74.55557,0.12127203457912196
