Species,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Fin whale,55,0.07640232386652902,0.5792971093276591,0.16956881244716937,0.21584311997750075
Humpback whale,47,0.2308496088029988,0.11848145320778464,0.14964857381159516,0.3153879151830935
Sperm whale,7,,,,
Common minke whale,7,,,,
