Species,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Fin whale,151,-0.22472912004662082,0.0055346860345857115,-0.2001256915302745,0.013750085215604002
Humpback whale,124,-0.15111593801554465,0.09386578560110229,-0.1975260323304288,0.027878375070638575
North Atlantic right whale,3,,,,
Beaked whales,6,,,,
Sperm whale,21,,,,
Common minke whale,21,,,,
Blue whale,4,,,,
