Species,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Fin whale,55,0.5409988115399361,2.0044332776501074e-05,0.3172590504485976,0.01826792625415443
Humpback whale,47,0.048420320692678896,0.7465407953534157,-0.15779025500476504,0.2894723375435261
Common minke whale,7,,,,
Sperm whale,7,,,,
