Original_Index_x,latitude,longitude,date_time,date,common_name,scientific_name,group_size,chlor_a_mean,chlor_a_median,chlor_a_std,chlor_a_min,chlor_a_max,chlor_a_q25,chlor_a_q75,Original_Index_y,synechococcus_mean,synechococcus_median,synechococcus_std,synechococcus_min,synechococcus_max,synechococcus_q25,synechococcus_q75,prochlorococcus_mean,prochlorococcus_median,prochlorococcus_std,prochlorococcus_min,prochlorococcus_max,prochlorococcus_q25,prochlorococcus_q75,picoeukaryotes_mean,picoeukaryotes_median,picoeukaryotes_std,picoeukaryotes_min,picoeukaryotes_max,picoeukaryotes_q25,picoeukaryotes_q75
17,38.19171,-73.72512,2025/02/22 15:00:43,2025-02-22,Fin whale,Balaenoptera physalus,1,0.7925716042518616,0.7934076189994812,0.0235169678926467,0.7507343888282776,0.8283616900444031,0.776581883430481,0.8075370788574219,10,325623.44444444444,338253.0,110239.11095040545,151011.0,530019.0,240317.0,391838.0,7461.0,0.0,12252.656038590163,0.0,37464.0,0.0,12843.0,138278.55555555556,136691.0,32964.29279323348,81114.0,196273.0,122058.0,144343.0
18,38.16393,-73.73656,2025/02/22 15:01:47,2025-02-22,Fin whale,Balaenoptera physalus,1,0.7957935333251953,0.79691481590271,0.0257801786065101,0.7507343888282776,0.8283616900444031,0.776581883430481,0.8216714262962341,11,335810.8888888889,338253.0,54179.31340659345,240317.0,399644.0,307615.0,391838.0,5589.666666666667,0.0,11959.629239886808,0.0,37464.0,0.0,0.0,125743.77777777778,131667.0,32460.916389398284,72648.0,182434.0,107649.0,144343.0
21,38.23487,-73.82935,2025/02/22 15:07:17,2025-02-22,Fin whale,Balaenoptera physalus,1,0.8286459445953369,0.8283616900444031,0.020843407139182,0.7934076189994812,0.8599545955657959,0.8137720823287964,0.8392492532730103,12,324466.77777777775,374045.0,127899.21235599517,185784.0,532061.0,189115.0,401142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135083.66666666666,137342.0,14447.489870408477,111174.0,158822.0,131667.0,140940.0
22,38.24622,-73.83601,2025/02/22 15:07:43,2025-02-22,Fin whale,Balaenoptera physalus,1,0.8458418250083923,0.8416538834571838,0.019322806969285,0.8137720823287964,0.8821668028831482,0.838146448135376,0.8580347895622253,13,305229.8888888889,220112.0,127977.39105226051,185784.0,532061.0,192511.0,401142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147796.11111111112,140940.0,29423.524237303896,111174.0,219780.0,137342.0,156505.0
23,38.25892,-73.83506,2025/02/22 15:08:07,2025-02-22,Humpback whale,Megaptera novaeangliae,2,0.8396493196487427,0.838146448135376,0.0221394132822752,0.812086284160614,0.8821668028831482,0.8244487643241882,0.8580347895622253,14,318937.8888888889,374045.0,118453.07744836203,185784.0,490667.0,192511.0,401142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149428.88888888888,140940.0,30589.8397236891,111174.0,219780.0,137342.0,156505.0
31,38.39448,-73.49339,2025/02/22 10:05:28,2025-02-22,Humpback whale,Megaptera novaeangliae,1,0.8282334804534912,0.836523711681366,0.0211007539182901,0.7945232391357422,0.8560736179351807,0.8104612827301025,0.8438026905059814,15,133131.55555555556,130933.0,52766.34586365129,41582.0,201049.0,106730.0,184616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173774.77777777778,168698.0,44575.51702392937,95738.0,246352.0,153630.0,183423.0
32,38.38323,-73.50716,2025/02/22 10:06:12,2025-02-22,Humpback whale,Megaptera novaeangliae,1,0.832687497138977,0.836523711681366,0.0190381444990634,0.8070283532142639,0.8560736179351807,0.8104612827301025,0.8505744934082031,16,120802.44444444444,109755.0,42870.83805290054,41582.0,186813.0,95229.0,160482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175401.11111111112,160505.0,38633.38961297151,135110.0,246352.0,153630.0,175593.0
40,38.43284,-73.58463,2025/02/22 10:10:17,2025-02-22,Humpback whale,Megaptera novaeangliae,1,0.8530895709991455,0.8505744934082031,0.0134565224871039,0.8279290795326233,0.877528190612793,0.8471074104309082,0.8598330020904541,17,185824.55555555556,171801.0,60313.961037430556,95229.0,328458.0,155676.0,194612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150652.44444444444,144861.0,42988.204612457,99949.0,244907.0,112416.0,175593.0
41,38.43629,-73.57339,2025/02/22 10:15:58,2025-02-22,Humpback whale,Megaptera novaeangliae,1,0.8500761389732361,0.8505744934082031,0.0114943087100982,0.8279290795326233,0.8686671853065491,0.8471074104309082,0.8569853901863098,18,150266.11111111112,155676.0,31432.22559180818,95229.0,194612.0,130933.0,171801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160241.44444444444,144861.0,50498.68038124277,99949.0,246352.0,121194.0,175593.0
46,38.39316,-73.93637,2025/02/22 12:44:00,2025-02-22,North Atlantic right whale,Eubalaena glacialis,8,0.8645110130310059,0.8670825958251953,0.0133893359452486,0.8348009586334229,0.885830283164978,0.8597331047058105,0.8715696930885315,19,302336.55555555556,257819.0,131612.20175965712,176080.0,549609.0,187843.0,398656.0,5400.222222222223,0.0,7972.672252106327,0.0,24358.0,0.0,5833.0,87945.66666666667,77673.0,29651.84894740967,55612.0,157749.0,69913.0,98778.0
119,38.3245,-73.52472,2025/02/22 11:27:40,2025-02-22,Beaked whales,Hyperoodontidae,5,0.8124885559082031,0.8104612827301025,0.0116609567776322,0.7900199294090271,0.8356298804283142,0.8077079653739929,0.817868709564209,20,169813.66666666666,167582.0,60529.762288205515,88116.0,283558.0,115471.0,213927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132491.66666666666,130062.0,19839.03319216942,99500.0,168698.0,121853.0,135110.0
120,38.33333,-73.51281,2025/02/22 11:28:44,2025-02-22,Beaked whales,Hyperoodontidae,5,0.8124885559082031,0.8104612827301025,0.0116609567776322,0.7900199294090271,0.8356298804283142,0.8077079653739929,0.817868709564209,21,169813.66666666666,167582.0,60529.762288205515,88116.0,283558.0,115471.0,213927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132491.66666666666,130062.0,19839.03319216942,99500.0,168698.0,121853.0,135110.0
1,38.3193,-73.84825,2025/02/22 14:46:46,2025-02-22,Fin whale,Balaenoptera physalus,1,0.7713437080383301,0.7646729350090027,0.0150830633938312,0.7529595494270325,0.7956410646438599,0.7619515061378479,0.7870670557022095,22,297263.55555555556,196457.0,122223.11664884849,183047.0,490667.0,192511.0,397528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136577.77777777778,140940.0,23916.080098627168,92870.0,174931.0,118715.0,149987.0
2,38.31815,-73.85002,2025/02/22 14:50:02,2025-02-22,Fin whale,Balaenoptera physalus,1,0.7713437080383301,0.7646729350090027,0.0150830633938312,0.7529595494270325,0.7956410646438599,0.7619515061378479,0.7870670557022095,23,297263.55555555556,196457.0,122223.11664884849,183047.0,490667.0,192511.0,397528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136577.77777777778,140940.0,23916.080098627168,92870.0,174931.0,118715.0,149987.0
3,38.30965,-73.82714,2025/02/22 14:50:41,2025-02-22,Humpback whale,Megaptera novaeangliae,2,0.7594401836395264,0.763922393321991,0.0213711448013782,0.7295554876327515,0.7926287651062012,0.7362498044967651,0.766217052936554,24,269806.8888888889,195396.0,124123.04955651822,158018.0,490667.0,185784.0,391164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129091.77777777778,137378.0,26259.26901232646,93409.0,174931.0,109779.0,148095.0
7,38.30913,-73.82352,2025/02/22 14:50:47,2025-02-22,Humpback whale,Megaptera novaeangliae,2,0.7594401836395264,0.763922393321991,0.0213711448013782,0.7295554876327515,0.7926287651062012,0.7362498044967651,0.766217052936554,25,269806.8888888889,195396.0,124123.04955651822,158018.0,490667.0,185784.0,391164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129091.77777777778,137378.0,26259.26901232646,93409.0,174931.0,109779.0,148095.0
17,38.19171,-73.72512,2025/02/22 15:00:43,2025-02-22,Fin whale,Balaenoptera physalus,1,0.6473219394683838,0.6491667032241821,0.0142305921763181,0.6276527643203735,0.6783535480499268,0.637061357498169,0.6516725420951843,26,325623.44444444444,338253.0,110239.11095040545,151011.0,530019.0,240317.0,391838.0,7461.0,0.0,12252.656038590163,0.0,37464.0,0.0,12843.0,138278.55555555556,136691.0,32964.29279323348,81114.0,196273.0,122058.0,144343.0
18,38.16393,-73.73656,2025/02/22 15:01:47,2025-02-22,Fin whale,Balaenoptera physalus,1,0.6491653919219971,0.6516725420951843,0.0151312425732612,0.6276527643203735,0.6793211102485657,0.637061357498169,0.657562792301178,27,335810.8888888889,338253.0,54179.31340659345,240317.0,399644.0,307615.0,391838.0,5589.666666666667,0.0,11959.629239886808,0.0,37464.0,0.0,0.0,125743.77777777778,131667.0,32460.916389398284,72648.0,182434.0,107649.0,144343.0
21,38.23487,-73.82935,2025/02/22 15:07:17,2025-02-22,Fin whale,Balaenoptera physalus,1,0.7244228720664978,0.7295554876327515,0.0406942665576934,0.6516725420951843,0.7926287651062012,0.7003293633460999,0.7462930083274841,28,324466.77777777775,374045.0,127899.21235599517,185784.0,532061.0,189115.0,401142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135083.66666666666,137342.0,14447.489870408477,111174.0,158822.0,131667.0,140940.0
22,38.24622,-73.83601,2025/02/22 15:07:43,2025-02-22,Fin whale,Balaenoptera physalus,1,0.7482314705848694,0.7462930083274841,0.0313424915075302,0.7003293633460999,0.7956410646438599,0.7209330201148987,0.7646729350090027,29,305229.8888888889,220112.0,127977.39105226051,185784.0,532061.0,192511.0,401142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147796.11111111112,140940.0,29423.524237303896,111174.0,219780.0,137342.0,156505.0
23,38.25892,-73.83506,2025/02/22 15:08:07,2025-02-22,Humpback whale,Megaptera novaeangliae,2,0.76481693983078,0.7619515061378479,0.0227290727198123,0.7209330201148987,0.7956410646438599,0.7529595494270325,0.7870670557022095,30,318937.8888888889,374045.0,118453.07744836203,185784.0,490667.0,192511.0,401142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149428.88888888888,140940.0,30589.8397236891,111174.0,219780.0,137342.0,156505.0
31,38.39448,-73.49339,2025/02/22 10:05:28,2025-02-22,Humpback whale,Megaptera novaeangliae,1,0.7227382659912109,0.7297350168228149,0.0222379881888628,0.6861322522163391,0.7481768727302551,0.7067639231681824,0.7420009970664978,31,133131.55555555556,130933.0,52766.34586365129,41582.0,201049.0,106730.0,184616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173774.77777777778,168698.0,44575.51702392937,95738.0,246352.0,153630.0,183423.0
32,38.38323,-73.50716,2025/02/22 10:06:12,2025-02-22,Humpback whale,Megaptera novaeangliae,1,0.714067816734314,0.7156049013137817,0.022115521132946,0.6861322522163391,0.7481768727302551,0.6889850497245789,0.7297350168228149,32,120802.44444444444,109755.0,42870.83805290054,41582.0,186813.0,95229.0,160482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175401.11111111112,160505.0,38633.38961297151,135110.0,246352.0,153630.0,175593.0
40,38.43284,-73.58463,2025/02/22 10:10:17,2025-02-22,Humpback whale,Megaptera novaeangliae,1,0.7265568375587463,0.7289149761199951,0.0236473158001899,0.6877475380897522,0.7615609169006348,0.7156049013137817,0.7427288293838501,33,185824.55555555556,171801.0,60313.961037430556,95229.0,328458.0,155676.0,194612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150652.44444444444,144861.0,42988.204612457,99949.0,244907.0,112416.0,175593.0
41,38.43629,-73.57339,2025/02/22 10:15:58,2025-02-22,Humpback whale,Megaptera novaeangliae,1,0.7133461236953735,0.7156049013137817,0.0209988858550786,0.6877475380897522,0.7447162866592407,0.6891472339630127,0.7285833954811096,34,150266.11111111112,155676.0,31432.22559180818,95229.0,194612.0,130933.0,171801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160241.44444444444,144861.0,50498.68038124277,99949.0,246352.0,121194.0,175593.0
46,38.39316,-73.93637,2025/02/22 12:44:00,2025-02-22,North Atlantic right whale,Eubalaena glacialis,8,0.7642979621887207,0.7619710564613342,0.0069804680533707,0.7532041668891907,0.7741815447807312,0.7602384686470032,0.7714404463768005,35,302336.55555555556,257819.0,131612.20175965712,176080.0,549609.0,187843.0,398656.0,5400.222222222223,0.0,7972.672252106327,0.0,24358.0,0.0,5833.0,87945.66666666667,77673.0,29651.84894740967,55612.0,157749.0,69913.0,98778.0
119,38.3245,-73.52472,2025/02/22 11:27:40,2025-02-22,Beaked whales,Hyperoodontidae,5,0.7224562168121338,0.7319700717926025,0.024899136275053,0.6702932119369507,0.7481768727302551,0.7131629586219788,0.7420009970664978,36,169813.66666666666,167582.0,60529.762288205515,88116.0,283558.0,115471.0,213927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132491.66666666666,130062.0,19839.03319216942,99500.0,168698.0,121853.0,135110.0
120,38.33333,-73.51281,2025/02/22 11:28:44,2025-02-22,Beaked whales,Hyperoodontidae,5,0.7224562168121338,0.7319700717926025,0.024899136275053,0.6702932119369507,0.7481768727302551,0.7131629586219788,0.7420009970664978,37,169813.66666666666,167582.0,60529.762288205515,88116.0,283558.0,115471.0,213927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132491.66666666666,130062.0,19839.03319216942,99500.0,168698.0,121853.0,135110.0
1,38.3193,-73.84825,2025/02/22 14:46:46,2025-02-22,Fin whale,Balaenoptera physalus,1,0.8831679821014404,0.8900905251502991,0.0404493175446987,0.821372926235199,0.9362435936927797,0.8397495746612549,0.9066671133041382,38,297263.55555555556,196457.0,122223.11664884849,183047.0,490667.0,192511.0,397528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136577.77777777778,140940.0,23916.080098627168,92870.0,174931.0,118715.0,149987.0
2,38.31815,-73.85002,2025/02/22 14:50:02,2025-02-22,Fin whale,Balaenoptera physalus,1,0.8831679821014404,0.8900905251502991,0.0404493175446987,0.821372926235199,0.9362435936927797,0.8397495746612549,0.9066671133041382,39,297263.55555555556,196457.0,122223.11664884849,183047.0,490667.0,192511.0,397528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136577.77777777778,140940.0,23916.080098627168,92870.0,174931.0,118715.0,149987.0
3,38.30965,-73.82714,2025/02/22 14:50:41,2025-02-22,Humpback whale,Megaptera novaeangliae,2,0.8663802742958069,0.8440327644348145,0.0389399975538253,0.821372926235199,0.9348498582839966,0.8397495746612549,0.9064173698425292,40,269806.8888888889,195396.0,124123.04955651822,158018.0,490667.0,185784.0,391164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129091.77777777778,137378.0,26259.26901232646,93409.0,174931.0,109779.0,148095.0
7,38.30913,-73.82352,2025/02/22 14:50:47,2025-02-22,Humpback whale,Megaptera novaeangliae,2,0.8663802742958069,0.8440327644348145,0.0389399975538253,0.821372926235199,0.9348498582839966,0.8397495746612549,0.9064173698425292,41,269806.8888888889,195396.0,124123.04955651822,158018.0,490667.0,185784.0,391164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129091.77777777778,137378.0,26259.26901232646,93409.0,174931.0,109779.0,148095.0
17,38.19171,-73.72512,2025/02/22 15:00:43,2025-02-22,Fin whale,Balaenoptera physalus,1,0.7392668724060059,0.7254074215888977,0.0330324359238147,0.7023162841796875,0.7921367883682251,0.7109032273292542,0.7690730690956116,42,325623.44444444444,338253.0,110239.11095040545,151011.0,530019.0,240317.0,391838.0,7461.0,0.0,12252.656038590163,0.0,37464.0,0.0,12843.0,138278.55555555556,136691.0,32964.29279323348,81114.0,196273.0,122058.0,144343.0
