latitude,longitude,date_time,date,common_name,scientific_name,group_size,carbon_phyto_mean,carbon_phyto_median,carbon_phyto_std,carbon_phyto_min,carbon_phyto_max,carbon_phyto_q25,carbon_phyto_q75,chlor_a_mean,chlor_a_median,chlor_a_std,chlor_a_min,chlor_a_max,chlor_a_q25,chlor_a_q75,synechococcus_mean,synechococcus_median,synechococcus_std,synechococcus_min,synechococcus_max,synechococcus_q25,synechococcus_q75,prochlorococcus_mean,prochlorococcus_median,prochlorococcus_std,prochlorococcus_min,prochlorococcus_max,prochlorococcus_q25,prochlorococcus_q75,picoeukaryotes_mean,picoeukaryotes_median,picoeukaryotes_std,picoeukaryotes_min,picoeukaryotes_max,picoeukaryotes_q25,picoeukaryotes_q75,depth_m
38.47909,-73.45693,2025/03/19 15:18:35,2025-03-19,Fin whale,Balaenoptera physalus,2,30.82080841064453,30.94170379638672,0.3966965675354004,30.106752395629883,31.370683670043945,30.67157745361328,31.12398338317871,0.8909491300582886,0.8857942819595337,0.0115978121757507,0.8778072595596313,0.915497362613678,0.8812883496284485,0.8974178433418274,20516.444444444445,19961.0,3904.50947583862,13649.0,26312.0,18191.0,23260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7208.0,7122.0,773.3362068912129,5946.0,8491.0,6697.0,7894.0,104.0
38.47909,-73.45693,2025/03/19 15:18:35,2025-03-19,Fin whale,Balaenoptera physalus,2,30.82080841064453,30.94170379638672,0.3966965675354004,30.106752395629883,31.370683670043945,30.67157745361328,31.12398338317871,0.6580998301506042,0.6477237343788147,0.0254515279084444,0.6262813806533813,0.7146807312965393,0.6436516642570496,0.673811674118042,20516.444444444445,19961.0,3904.50947583862,13649.0,26312.0,18191.0,23260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7208.0,7122.0,773.3362068912129,5946.0,8491.0,6697.0,7894.0,104.0
38.47909,-73.45693,2025/03/19 15:18:35,2025-03-19,Fin whale,Balaenoptera physalus,2,30.82080841064453,30.94170379638672,0.3966965675354004,30.106752395629883,31.370683670043945,30.67157745361328,31.12398338317871,0.7076566815376282,0.7065898776054382,0.0052022198215126,0.6972612142562866,0.7142965793609619,0.7049980163574219,0.7111148834228516,20516.444444444445,19961.0,3904.50947583862,13649.0,26312.0,18191.0,23260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7208.0,7122.0,773.3362068912129,5946.0,8491.0,6697.0,7894.0,104.0
38.24397,-73.67499,2025/03/25 10:32:07,2025-03-25,Fin whale,Balaenoptera physalus,3,24.63121795654297,24.850740432739254,0.7286521792411804,23.59700584411621,25.789888381958008,24.04485321044922,25.13677215576172,0.7024473547935486,0.6987261176109314,0.0230440720915794,0.6665223836898804,0.7319867610931396,0.6912877559661865,0.7279306650161743,126962.55555555556,122251.0,42347.155323878505,59159.0,186964.0,102431.0,153330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9392.777777777776,9329.0,374.8198909039966,8814.0,10009.0,9163.0,9739.0,154.0
38.24397,-73.67499,2025/03/25 10:32:07,2025-03-25,Fin whale,Balaenoptera physalus,3,24.63121795654297,24.850740432739254,0.7286521792411804,23.59700584411621,25.789888381958008,24.04485321044922,25.13677215576172,0.6635381579399109,0.66263747215271,0.0064930897206068,0.6543186902999878,0.6758905649185181,0.6586945652961731,0.6679525375366211,126962.55555555556,122251.0,42347.155323878505,59159.0,186964.0,102431.0,153330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9392.777777777776,9329.0,374.8198909039966,8814.0,10009.0,9163.0,9739.0,154.0
38.24397,-73.67499,2025/03/25 10:32:07,2025-03-25,Fin whale,Balaenoptera physalus,3,24.63121795654297,24.850740432739254,0.7286521792411804,23.59700584411621,25.789888381958008,24.04485321044922,25.13677215576172,0.4769631028175354,0.4789651036262512,0.0105557981878519,0.4531655013561249,0.4884606003761291,0.4735816717147827,0.485657125711441,126962.55555555556,122251.0,42347.155323878505,59159.0,186964.0,102431.0,153330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9392.777777777776,9329.0,374.8198909039966,8814.0,10009.0,9163.0,9739.0,154.0
38.25499,-73.67715,2025/03/25 10:32:38,2025-03-25,Fin whale,Balaenoptera physalus,3,25.496679306030277,24.850740432739254,1.808800220489502,23.59700584411621,28.65034866333008,24.04485321044922,26.81050109863281,0.6960368156433105,0.6912877559661865,0.0211736187338829,0.6665223836898804,0.7292177081108093,0.6814835667610168,0.7097000479698181,101144.22222222222,102431.0,49727.52143828468,30203.0,183968.0,59159.0,151146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9661.444444444443,9739.0,405.8262110562191,8814.0,10168.0,9489.0,10009.0,135.0
38.25499,-73.67715,2025/03/25 10:32:38,2025-03-25,Fin whale,Balaenoptera physalus,3,25.496679306030277,24.850740432739254,1.808800220489502,23.59700584411621,28.65034866333008,24.04485321044922,26.81050109863281,0.6612903475761414,0.6603057980537415,0.0117783518508076,0.6355706453323364,0.681194007396698,0.6564840078353882,0.6679525375366211,101144.22222222222,102431.0,49727.52143828468,30203.0,183968.0,59159.0,151146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9661.444444444443,9739.0,405.8262110562191,8814.0,10168.0,9489.0,10009.0,135.0
38.25499,-73.67715,2025/03/25 10:32:38,2025-03-25,Fin whale,Balaenoptera physalus,3,25.496679306030277,24.850740432739254,1.808800220489502,23.59700584411621,28.65034866333008,24.04485321044922,26.81050109863281,0.4706346094608307,0.4735816717147827,0.0109500540420413,0.4504903852939605,0.4835511445999145,0.4681882262229919,0.4789651036262512,101144.22222222222,102431.0,49727.52143828468,30203.0,183968.0,59159.0,151146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9661.444444444443,9739.0,405.8262110562191,8814.0,10168.0,9489.0,10009.0,135.0
38.28309,-74.29529,2025/03/25 11:56:47,2025-03-25,Common minke whale,Balaenoptera acutorostrata,1,30.52893829345703,30.57492446899414,0.8569589853286743,29.35091781616211,31.81880187988281,29.72687339782715,31.020347595214844,0.6007881760597229,0.5927720069885254,0.021030968055129,0.5797526836395264,0.6465346217155457,0.5887013077735901,0.610068142414093,3550.555555555556,3423.0,444.4127488698143,2914.0,4134.0,3243.0,4092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7979.555555555556,7514.0,841.294255710425,7124.0,9857.0,7393.0,8395.0,50.0
