Original_Index,latitude,longitude,date_time,date,common_name,scientific_name,group_size,chlor_a_mean,chlor_a_median,chlor_a_std,chlor_a_min,chlor_a_max,chlor_a_q25,chlor_a_q75
0,37.14515,-74.54101,2024/12/28 11:33:07,2024-12-28,Fin whale,Balaenoptera physalus,4,0.4062725007534027,0.40282803773880005,0.022075582295656204,0.3816296458244324,0.4428595304489136,0.38464877009391785,0.4256443679332733
5,37.16355,-74.54586,2024/12/28 11:34:14,2024-12-28,Fin whale,Balaenoptera physalus,4,0.4217640459537506,0.4197571277618408,0.027787407860159874,0.38464877009391785,0.47328105568885803,0.40282803773880005,0.4428595304489136
0,37.14515,-74.54101,2024/12/28 11:33:07,2024-12-28,Fin whale,Balaenoptera physalus,4,0.4229724705219269,0.43619948625564575,0.03376641124486923,0.3850211203098297,0.4654650092124939,0.3866165727376938,0.4504442512989044
5,37.16355,-74.54586,2024/12/28 11:34:14,2024-12-28,Fin whale,Balaenoptera physalus,4,0.5351293683052063,0.43619951605796814,0.23511171340942383,0.38572368025779724,1.0015250444412231,0.38750946521759033,0.4646889865398407
0,37.14515,-74.54101,2024/12/28 11:33:07,2024-12-28,Fin whale,Balaenoptera physalus,4,0.53130704164505,0.5340186953544617,0.019175760447978973,0.48955807089805603,0.5529804229736328,0.528933584690094,0.5461182594299316
5,37.16355,-74.54586,2024/12/28 11:34:14,2024-12-28,Fin whale,Balaenoptera physalus,4,0.525384247303009,0.533033549785614,0.020782146602869034,0.48524823784828186,0.5471017360687256,0.5101038813591003,0.5439532995223999
1,38.3193,-73.84825,2025/02/22 14:46:46,2025-02-22,Fin whale,Balaenoptera physalus,1,0.8512479662895203,0.8421615362167358,0.029881807044148445,0.812086284160614,0.8996248245239258,0.8260722160339355,0.8821668028831482
2,38.31815,-73.85002,2025/02/22 14:50:02,2025-02-22,Fin whale,Balaenoptera physalus,1,0.8512479662895203,0.8421615362167358,0.029881807044148445,0.812086284160614,0.8996248245239258,0.8260722160339355,0.8821668028831482
3,38.30965,-73.82714,2025/02/22 14:50:41,2025-02-22,Humpback whale,Megaptera novaeangliae,2,0.8281842470169067,0.8244487643241882,0.031228259205818176,0.7910071611404419,0.8996248245239258,0.8062549233436584,0.8288862109184265
7,38.30913,-73.82352,2025/02/22 14:50:47,2025-02-22,Humpback whale,Megaptera novaeangliae,2,0.8281842470169067,0.8244487643241882,0.031228259205818176,0.7910071611404419,0.8996248245239258,0.8062549233436584,0.8288862109184265
17,38.19171,-73.72512,2025/02/22 15:00:43,2025-02-22,Fin whale,Balaenoptera physalus,1,0.7925716042518616,0.7934076189994812,0.02351696789264679,0.7507343888282776,0.8283616900444031,0.776581883430481,0.8075370788574219
18,38.16393,-73.73656,2025/02/22 15:01:47,2025-02-22,Fin whale,Balaenoptera physalus,1,0.7957935333251953,0.79691481590271,0.025780178606510162,0.7507343888282776,0.8283616900444031,0.776581883430481,0.8216714262962341
21,38.23487,-73.82935,2025/02/22 15:07:17,2025-02-22,Fin whale,Balaenoptera physalus,1,0.8286459445953369,0.8283616900444031,0.02084340713918209,0.7934076189994812,0.8599545955657959,0.8137720823287964,0.8392492532730103
22,38.24622,-73.83601,2025/02/22 15:07:43,2025-02-22,Fin whale,Balaenoptera physalus,1,0.8458418250083923,0.8416538834571838,0.01932280696928501,0.8137720823287964,0.8821668028831482,0.838146448135376,0.8580347895622253
23,38.25892,-73.83506,2025/02/22 15:08:07,2025-02-22,Humpback whale,Megaptera novaeangliae,2,0.8396493196487427,0.838146448135376,0.0221394132822752,0.812086284160614,0.8821668028831482,0.8244487643241882,0.8580347895622253
31,38.39448,-73.49339,2025/02/22 10:05:28,2025-02-22,Humpback whale,Megaptera novaeangliae,1,0.8282334804534912,0.836523711681366,0.021100753918290138,0.7945232391357422,0.8560736179351807,0.8104612827301025,0.8438026905059814
32,38.38323,-73.50716,2025/02/22 10:06:12,2025-02-22,Humpback whale,Megaptera novaeangliae,1,0.832687497138977,0.836523711681366,0.019038144499063492,0.8070283532142639,0.8560736179351807,0.8104612827301025,0.8505744934082031
40,38.43284,-73.58463,2025/02/22 10:10:17,2025-02-22,Humpback whale,Megaptera novaeangliae,1,0.8530895709991455,0.8505744934082031,0.013456522487103939,0.8279290795326233,0.877528190612793,0.8471074104309082,0.8598330020904541
41,38.43629,-73.57339,2025/02/22 10:15:58,2025-02-22,Humpback whale,Megaptera novaeangliae,1,0.8500761389732361,0.8505744934082031,0.011494308710098267,0.8279290795326233,0.8686671853065491,0.8471074104309082,0.8569853901863098
46,38.39316,-73.93637,2025/02/22 12:44:00,2025-02-22,North Atlantic right whale,Eubalaena glacialis,8,0.8645110130310059,0.8670825958251953,0.013389335945248604,0.8348009586334229,0.885830283164978,0.8597331047058105,0.8715696930885315
119,38.3245,-73.52472,2025/02/22 11:27:40,2025-02-22,Beaked whales,Hyperoodontidae,5,0.8124885559082031,0.8104612827301025,0.011660956777632236,0.7900199294090271,0.8356298804283142,0.8077079653739929,0.817868709564209
120,38.33333,-73.51281,2025/02/22 11:28:44,2025-02-22,Beaked whales,Hyperoodontidae,5,0.8124885559082031,0.8104612827301025,0.011660956777632236,0.7900199294090271,0.8356298804283142,0.8077079653739929,0.817868709564209
1,38.3193,-73.84825,2025/02/22 14:46:46,2025-02-22,Fin whale,Balaenoptera physalus,1,0.7713437080383301,0.7646729350090027,0.015083063393831253,0.7529595494270325,0.7956410646438599,0.7619515061378479,0.7870670557022095
