Species,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Fin whale,151,-0.18029210394276832,0.026743470455961888,-0.11761790919771659,0.15034893706437222
Humpback whale,125,-0.32447590903135964,0.0002227532031654009,-0.33062081652734415,0.0001660253682953551
North Atlantic right whale,3,,,,
Beaked whales,6,,,,
Sperm whale,21,,,,
Common minke whale,21,,,,
Blue whale,4,,,,
