common_name,Count,Mean,Median,Std Dev,Min,Max,25%,75%
Beaked whales,6,167582.0,167582.0,0.0,167582.0,167582.0,167582.0,167582.0
Blue whale,4,43442.0,43442.0,1521.8953095838535,42124.0,44760.0,42124.0,44760.0
Common minke whale,21,155393.42857142858,22287.0,177703.82752112328,3423.0,411257.0,7246.0,401142.0
Fin whale,151,119661.56953642383,69344.0,114504.7499058742,3389.0,411257.0,34317.5,196457.0
Humpback whale,124,99242.05645161291,78450.0,81807.40060548343,83.0,374045.0,30682.0,150832.0
North Atlantic right whale,3,257819.0,257819.0,0.0,257819.0,257819.0,257819.0,257819.0
Sperm whale,21,215763.0,268940.0,92685.03396665504,59569.0,309712.0,138412.0,309377.0
