common_name,Count,Mean,Median,Std Dev,Min,Max,25%,75%
Beaked whales,6,130062.0,130062.0,0.0,130062.0,130062.0,130062.0,130062.0
Blue whale,4,20012.0,20012.0,0.0,20012.0,20012.0,20012.0,20012.0
Common minke whale,21,59897.42857142857,11794.0,59043.619957258226,7514.0,137342.0,9768.0,122058.0
Fin whale,151,51077.13907284768,24671.0,48622.287134302205,6219.0,140940.0,10230.0,82054.75
Humpback whale,124,54147.82258064516,28343.5,50677.03368977197,7422.0,168698.0,11677.0,90655.0
North Atlantic right whale,3,77673.0,77673.0,0.0,77673.0,77673.0,77673.0,77673.0
Sperm whale,21,79697.57142857143,87964.0,26023.696345487566,21406.0,105716.0,78878.5,97076.0
